City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Torbay,CA,41.76,light intensity shower rain,47.6666,-52.7314,Gallows Cove
159,Pacific Grove,US,47.88,clear sky,36.6177,-121.9166,Lovers Point Inn
161,Ahuimanu,US,76.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
162,Severo-Kurilsk,RU,32.88,light snow,50.6789,156.125,Kak Doma
165,Seoul,KR,70.99,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
167,Chittur,IN,77.86,light rain,10.7,76.75,Cee Dee Regency
168,Port Hawkesbury,CA,52.92,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
169,Robe,AU,60.35,overcast clouds,-37.1833,139.75,Harbour View Motel
170,Maniwaki,CA,49.84,broken clouds,46.3834,-75.966,Centre Chateau Logue
171,Le Vauclin,MQ,79.84,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
173,Abalak,RU,30.97,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
174,Kokemaki,FI,51.58,overcast clouds,61.2565,22.3564,Kartano Hostel
175,Zhangye,CN,42.1,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
176,Cartagena,CO,76.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
178,Meulaboh,ID,78.12,overcast clouds,4.1363,96.1285,Kost Pria
179,Geraldton,AU,68.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
